months_driven,total_kms_driven,make,vehicle_model,year,fuel_type,last_service_type,days_until_service,kms_until_service,driver_profile,trigger,elapsed_fraction
1.66,6420.3,Ford,Escape,2014,petrol,full_service,12,1579.7,heavy,km,0.8044
0.49,851.8,Honda,CR-V,2010,petrol,full_service,143,7148.2,average,km,0.0951
10.81,7773.2,Honda,CR-V,2012,electric,brake_service,91,2168.7,light,time,0.7826
1.71,4464.9,Volkswagen,Golf,2010,petrol,full_service,39,3535.1,heavy,km,0.5724
0.68,584.0,Toyota,RAV4,2021,hybrid,full_service,151,4875.1,average,time,0.1197
4.68,4509.3,Volkswagen,Golf,2023,diesel,full_service,44,1400.1,light,time,0.7625
1.61,3140.6,Volkswagen,Polo,2012,petrol,oil_change,79,4859.4,average,km,0.3833
12.39,24796.1,Ford,Escape,2019,electric,oil_change,19,1270.9,average,time,0.9512
1.97,5371.7,Hyundai,i20,2011,diesel,full_service,72,6628.3,heavy,km,0.4543
4.74,7979.0,Ford,Fiesta,2010,petrol,brake_service,0,21.0,average,km,0.997
0.55,782.4,Ford,Focus,2011,hybrid,brake_service,168,7753.0,average,time,0.0904
0.23,163.3,Hyundai,i20,2022,petrol,oil_change,185,4508.2,light,time,0.0362
4.48,2001.5,Volkswagen,Tiguan,2022,diesel,oil_change,34,500.9,light,time,0.801
3.47,12737.2,Volkswagen,Tiguan,2016,diesel,oil_change,18,2262.8,heavy,km,0.8511
0.21,384.0,Toyota,Corolla,2014,petrol,full_service,109,7616.0,average,km,0.0545
2.46,1790.3,Hyundai,Tucson,2016,hybrid,oil_change,88,2088.6,light,time,0.4586
3.58,5341.1,Honda,Accord,2012,diesel,brake_service,47,2298.6,average,time,0.6998
0.69,2834.6,Hyundai,Creta,2020,petrol,full_service,54,7165.4,heavy,km,0.2781
2.97,3951.9,Ford,Fiesta,2019,diesel,oil_change,63,2804.6,average,time,0.5883
3.73,3187.3,Hyundai,Creta,2012,petrol,full_service,62,1726.7,light,time,0.6479
3.84,6224.5,Honda,Accord,2018,hybrid,oil_change,111,5775.5,average,km,0.5127
5.42,17472.1,Volkswagen,Golf,2021,electric,inspection,169,17855.0,heavy,time,0.4941
1.83,1492.9,Hyundai,Tucson,2010,hybrid,oil_change,121,3463.3,light,time,0.3139
1.86,1260.5,BMW,X3,2016,hybrid,oil_change,99,2240.9,light,time,0.3649
2.77,6148.2,Ford,Fiesta,2014,hybrid,full_service,47,3451.8,heavy,km,0.6409
4.55,4814.4,Hyundai,i20,2020,diesel,inspection,27,910.6,light,time,0.8391
2.89,2349.8,Honda,CR-V,2015,petrol,oil_change,99,2677.4,light,time,0.4693
6.6,4706.5,Maruti,Swift,2019,electric,oil_change,206,4875.0,light,time,0.4933
0.34,211.0,Honda,CR-V,2019,hybrid,full_service,169,4237.7,light,time,0.0581
3.29,7238.7,Maruti,Vitara,2014,petrol,inspection,10,761.3,average,km,0.9096
3.59,9175.9,Hyundai,Creta,2017,petrol,full_service,10,824.1,heavy,km,0.9173
3.66,3224.2,Ford,Focus,2013,petrol,brake_service,75,2165.4,light,time,0.5985
5.14,10300.0,Toyota,Camry,2019,diesel,brake_service,49,3221.5,average,time,0.7614
5.86,12890.9,BMW,X3,2016,electric,oil_change,144,10406.0,average,time,0.5531
8.13,17656.4,Maruti,Swift,2014,electric,full_service,71,5064.8,heavy,time,0.7773
1.76,6443.5,Ford,Escape,2013,petrol,inspection,13,1556.5,heavy,km,0.8021
2.3,5728.4,Ford,Focus,2015,petrol,oil_change,28,2271.6,heavy,km,0.7133
0.01,67.4,Ford,Escape,2015,diesel,oil_change,98,11932.6,heavy,km,0.0045
4.25,8608.4,Toyota,RAV4,2016,petrol,inspection,22,1391.6,average,km,0.8528
0.29,874.3,BMW,5 Series,2016,petrol,oil_change,96,9125.7,heavy,km,0.0848
3.4,5009.8,Ford,Fiesta,2024,hybrid,oil_change,77,3768.8,average,time,0.5749
0.22,241.4,Honda,Accord,2015,electric,oil_change,380,15835.9,average,time,0.0177
1.55,2472.8,Toyota,Camry,2016,petrol,brake_service,119,6228.0,average,time,0.2845
1.85,1627.6,Maruti,Vitara,2014,petrol,full_service,131,3962.9,light,time,0.2994
4.89,8473.1,Hyundai,Creta,2023,petrol,oil_change,41,2325.6,average,time,0.7838
6.42,9512.5,BMW,X3,2013,electric,brake_service,152,7350.2,average,time,0.5622
0.96,1766.7,Volkswagen,Tiguan,2017,electric,oil_change,254,15726.3,average,time,0.103
2.07,1631.8,Maruti,Baleno,2013,petrol,oil_change,101,2528.1,light,time,0.3845
0.5,844.8,Hyundai,Tucson,2014,petrol,oil_change,121,7155.2,average,km,0.1121
1.4,1104.5,Honda,Accord,2010,diesel,oil_change,121,2977.6,light,time,0.2603
0.31,208.3,Ford,Escape,2020,petrol,oil_change,187,5177.8,light,time,0.0486
0.15,169.3,BMW,3 Series,2014,petrol,brake_service,143,7830.7,average,km,0.0313
5.17,5478.2,Toyota,Corolla,2018,petrol,full_service,27,925.9,average,time,0.8534
7.12,4667.6,Maruti,Vitara,2014,hybrid,brake_service,3,71.9,light,time,0.9846
0.96,3525.8,Honda,Accord,2021,petrol,full_service,63,7474.2,heavy,km,0.3176
2.23,2361.4,Ford,Focus,2020,petrol,full_service,146,5056.7,light,time,0.3172
4.62,7931.6,Honda,CR-V,2012,petrol,full_service,1,68.4,average,km,0.9918
7.31,5889.0,BMW,5 Series,2015,electric,inspection,135,3586.6,light,time,0.6218
3.53,1931.1,Toyota,Corolla,2014,diesel,full_service,73,1274.6,light,time,0.5957
1.42,4528.9,BMW,5 Series,2012,petrol,oil_change,33,3471.1,heavy,km,0.5669
1.5,4048.2,Hyundai,Tucson,2017,petrol,oil_change,66,5951.8,heavy,km,0.408
3.11,8605.7,Honda,CR-V,2017,petrol,brake_service,16,1394.3,heavy,km,0.859
4.4,3405.1,Honda,CR-V,2021,petrol,inspection,47,1232.3,light,time,0.7417
1.19,3120.5,Hyundai,i20,2021,diesel,inspection,141,11788.6,heavy,time,0.2044
3.88,3208.5,Maruti,Vitara,2015,electric,full_service,252,6506.2,light,time,0.3191
2.1,3941.8,Toyota,Camry,2018,petrol,full_service,98,6058.2,average,km,0.3941
3.87,2529.5,Maruti,Swift,2015,diesel,brake_service,39,826.1,light,time,0.7535
2.97,4745.9,Maruti,Swift,2017,petrol,full_service,97,5071.8,average,time,0.4815
4.57,7025.0,Hyundai,Tucson,2011,petrol,oil_change,20,975.0,average,km,0.8767
1.11,3948.6,Ford,Escape,2018,electric,oil_change,316,37560.9,heavy,time,0.097
3.87,5791.8,Toyota,Camry,2012,diesel,oil_change,84,4152.5,average,time,0.5842
0.46,954.0,Volkswagen,Golf,2011,petrol,inspection,103,7046.0,average,km,0.1207
1.55,1384.5,Volkswagen,Polo,2022,petrol,oil_change,146,4108.7,light,time,0.2453
5.46,11253.1,Volkswagen,Golf,2018,hybrid,oil_change,11,717.7,heavy,time,0.94
0.62,1976.6,Hyundai,i20,2017,diesel,full_service,124,13023.4,heavy,km,0.1318
0.1,283.7,Volkswagen,Tiguan,2012,petrol,full_service,97,7716.3,heavy,km,0.0301
0.6,1725.9,Honda,CR-V,2019,petrol,full_service,79,8274.1,heavy,km,0.1872
1.91,4591.1,Ford,Fiesta,2022,diesel,brake_service,112,8863.9,heavy,time,0.3424
3.45,5653.5,Honda,Accord,2021,hybrid,oil_change,59,3194.7,average,time,0.639
1.1,3174.3,Maruti,Swift,2015,petrol,oil_change,52,4825.7,heavy,km,0.3929
5.95,6918.3,Hyundai,Tucson,2016,diesel,full_service,10,367.7,average,time,0.9501
3.84,3306.3,Maruti,Vitara,2018,diesel,oil_change,60,1680.9,light,time,0.66
1.76,5604.8,Toyota,RAV4,2021,petrol,oil_change,52,5395.2,heavy,km,0.5089
4.14,6610.9,Ford,Fiesta,2020,diesel,oil_change,63,3302.5,average,time,0.6675
1.24,1739.6,Ford,Escape,2014,petrol,oil_change,115,5468.3,average,time,0.2467
3.39,2763.7,Volkswagen,Polo,2014,petrol,full_service,87,2423.7,light,time,0.5421
1.36,4771.1,Honda,CR-V,2013,diesel,full_service,62,7228.9,heavy,km,0.3997
2.06,1949.6,BMW,X3,2024,petrol,oil_change,132,3998.5,light,time,0.3222
5.33,7696.6,BMW,X3,2015,diesel,oil_change,30,1425.9,average,time,0.8433
1.36,2783.4,Honda,CR-V,2011,hybrid,full_service,102,6816.6,average,km,0.2893
0.03,6.5,Hyundai,i20,2013,petrol,inspection,125,7993.5,average,km,0.0075
0.8,2322.4,Honda,Civic,2020,hybrid,oil_change,102,9677.6,heavy,km,0.1926
4.67,7821.1,Volkswagen,Tiguan,2023,diesel,brake_service,38,2069.0,average,time,0.7907
2.62,7551.2,Hyundai,i20,2020,diesel,oil_change,80,7448.8,heavy,km,0.5008
12.3,25568.4,Volkswagen,Polo,2024,electric,full_service,9,609.4,average,time,0.9767
3.63,6635.0,Honda,Civic,2015,petrol,oil_change,24,1365.0,average,km,0.8212
5.33,8197.5,BMW,X3,2022,diesel,full_service,22,1119.9,average,time,0.8791
0.2,126.8,Honda,Civic,2017,diesel,oil_change,172,3887.6,light,time,0.0348
2.57,6622.7,Toyota,Corolla,2012,petrol,inspection,17,1377.3,heavy,km,0.8192
2.59,4041.8,BMW,3 Series,2014,diesel,full_service,135,7116.2,average,time,0.3679
5.44,4049.1,Volkswagen,Tiguan,2011,hybrid,oil_change,36,868.2,light,time,0.8231
2.33,6912.0,Maruti,Baleno,2012,petrol,oil_change,10,1088.0,heavy,km,0.8729
4.54,3053.4,Hyundai,Tucson,2014,diesel,full_service,29,613.2,light,time,0.8285
4.92,3159.9,Maruti,Baleno,2015,petrol,oil_change,31,670.8,light,time,0.8266
0.36,660.3,Hyundai,i20,2017,petrol,oil_change,153,9339.7,average,km,0.0661
6.18,6400.2,Volkswagen,Golf,2021,hybrid,inspection,13,438.4,light,time,0.9355
1.11,1111.4,Honda,Accord,2012,diesel,full_service,130,4351.3,light,time,0.207
1.95,1348.0,BMW,X3,2012,petrol,oil_change,165,3619.4,light,time,0.2648
3.04,1746.4,Ford,Focus,2023,hybrid,oil_change,57,1109.1,light,time,0.6196
1.52,3858.4,Toyota,RAV4,2020,hybrid,brake_service,97,8141.6,heavy,km,0.3239
2.41,2955.0,Hyundai,Tucson,2012,hybrid,brake_service,111,4538.6,average,time,0.3975
2.86,1913.8,Honda,Civic,2024,petrol,inspection,126,2693.7,light,time,0.4087
7.47,8422.6,Toyota,RAV4,2023,electric,oil_change,173,6438.0,average,time,0.5679
4.13,8767.1,Ford,Focus,2024,diesel,oil_change,48,3355.1,average,time,0.7231
3.82,2607.8,Ford,Escape,2021,diesel,oil_change,78,1737.5,light,time,0.5974
7.68,6185.3,Volkswagen,Golf,2011,electric,full_service,110,2896.6,light,time,0.6804
4.75,4299.3,Maruti,Swift,2022,diesel,full_service,39,1184.0,light,time,0.7866
1.53,4334.2,Volkswagen,Golf,2010,petrol,oil_change,40,3665.8,heavy,km,0.5365
2.57,7822.9,Honda,CR-V,2012,hybrid,full_service,18,1777.1,heavy,km,0.811
8.41,12547.9,Volkswagen,Golf,2023,electric,oil_change,66,3249.3,average,time,0.7948
3.53,6001.1,Ford,Escape,2023,petrol,oil_change,48,2711.6,average,time,0.6901
0.66,1154.1,Volkswagen,Golf,2012,petrol,full_service,124,6845.9,average,km,0.1396
0.52,921.0,Toyota,Camry,2024,petrol,oil_change,179,10079.0,average,km,0.0807
4.2,11520.8,Ford,Fiesta,2012,diesel,oil_change,6,479.2,heavy,km,0.9587
0.61,1122.0,Hyundai,Creta,2023,petrol,oil_change,140,8155.3,average,time,0.1175
0.18,418.3,Volkswagen,Golf,2011,petrol,full_service,79,7581.7,heavy,km,0.0631
2.83,5587.0,Maruti,Baleno,2014,petrol,brake_service,36,2413.0,average,km,0.7078
3.29,10860.7,Ford,Escape,2019,hybrid,inspection,11,1139.3,heavy,km,0.8989
0.54,529.7,Toyota,Camry,2016,petrol,oil_change,168,5922.9,average,time,0.0898
3.32,10763.2,Honda,CR-V,2022,petrol,oil_change,3,236.8,heavy,km,0.9757
0.74,1089.7,BMW,X3,2024,electric,oil_change,335,16546.9,average,time,0.0633
12.68,18760.4,Honda,Accord,2019,electric,oil_change,61,2939.7,average,time,0.8641
3.26,6155.7,BMW,5 Series,2013,petrol,oil_change,30,1844.3,average,km,0.7708
1.08,999.3,Honda,Accord,2012,petrol,oil_change,162,4984.7,light,time,0.1689
5.71,4431.2,BMW,5 Series,2017,petrol,full_service,1,23.4,light,time,0.9948
6.06,9508.6,Maruti,Swift,2021,petrol,oil_change,3,178.9,average,time,0.9814
1.16,3419.6,BMW,X3,2010,petrol,inspection,47,4580.4,heavy,km,0.4282
2.33,6202.5,Ford,Fiesta,2016,diesel,full_service,96,8321.9,heavy,time,0.4251
1.2,1287.8,BMW,5 Series,2016,diesel,oil_change,148,5200.0,average,time,0.1986
2.05,3062.2,Volkswagen,Polo,2018,hybrid,brake_service,152,7380.4,average,time,0.2913
0.51,1778.0,Toyota,Corolla,2020,hybrid,oil_change,91,10222.0,heavy,km,0.1474
4.63,5913.7,BMW,5 Series,2022,petrol,oil_change,48,1980.4,average,time,0.748
2.22,3658.4,BMW,3 Series,2013,hybrid,oil_change,105,5941.6,average,km,0.3921
0.55,1898.5,Honda,Civic,2015,petrol,oil_change,54,6101.5,heavy,km,0.236
3.76,8888.4,Toyota,Camry,2019,petrol,inspection,14,1111.6,heavy,km,0.8898
1.72,5730.7,Volkswagen,Polo,2020,petrol,full_service,40,4269.3,heavy,km,0.5682
3.24,6970.3,Toyota,RAV4,2013,petrol,inspection,14,1029.7,heavy,km,0.8729
1.63,1762.3,Volkswagen,Polo,2022,petrol,brake_service,118,4138.5,average,time,0.2963
1.08,679.2,BMW,5 Series,2024,petrol,oil_change,138,2697.3,light,time,0.1919
1.25,2980.1,Maruti,Vitara,2021,petrol,full_service,100,8019.9,heavy,km,0.2762
2.35,3528.3,Toyota,RAV4,2016,petrol,oil_change,117,5917.4,average,time,0.3783
4.79,4647.0,BMW,5 Series,2015,petrol,oil_change,34,1098.7,light,time,0.8099
2.75,3511.0,Maruti,Swift,2015,diesel,oil_change,91,3889.0,average,time,0.4794
5.07,8471.8,Toyota,RAV4,2012,diesel,oil_change,57,3137.4,average,time,0.7298
5.02,5026.8,Ford,Focus,2013,petrol,oil_change,39,1290.6,light,time,0.7961
0.68,1708.7,BMW,3 Series,2011,petrol,oil_change,71,6291.3,heavy,km,0.2247
4.01,7395.8,Honda,Civic,2012,petrol,full_service,11,604.2,average,km,0.9174
0.55,1425.4,Hyundai,i20,2022,petrol,oil_change,113,9574.6,heavy,km,0.1283
4.2,12047.9,Maruti,Vitara,2016,diesel,inspection,28,2662.0,heavy,time,0.8205
5.1,4005.9,Ford,Fiesta,2020,petrol,full_service,15,374.9,light,time,0.9132
3.57,6132.5,Hyundai,i20,2017,diesel,oil_change,42,2360.7,average,time,0.7218
3.3,8769.5,Ford,Fiesta,2019,petrol,brake_service,14,1230.5,heavy,km,0.8755
1.15,3754.8,Hyundai,Creta,2024,petrol,inspection,69,7245.2,heavy,km,0.3369
0.37,567.1,Maruti,Swift,2016,hybrid,full_service,194,9157.2,average,time,0.0552
2.54,6906.3,Honda,CR-V,2015,petrol,brake_service,12,1093.7,heavy,km,0.8666
3.78,3146.2,Ford,Escape,2021,diesel,oil_change,47,1282.1,light,time,0.71
5.87,9828.0,Honda,Civic,2017,diesel,oil_change,23,1242.5,average,time,0.8881
0.96,1302.7,Toyota,Corolla,2013,diesel,brake_service,144,6728.0,average,time,0.1691
5.01,4830.7,Maruti,Baleno,2011,petrol,brake_service,32,1014.3,light,time,0.8273
1.82,4084.3,Ford,Escape,2014,diesel,full_service,105,7915.7,heavy,km,0.3461
2.08,2160.1,BMW,X3,2013,hybrid,oil_change,129,4313.6,light,time,0.3302
0.9,2331.9,Maruti,Vitara,2013,petrol,oil_change,66,5668.1,heavy,km,0.295
4.19,5370.2,Ford,Focus,2019,diesel,full_service,56,2390.2,average,time,0.6935
3.21,5920.7,Volkswagen,Golf,2010,petrol,oil_change,34,2079.3,average,km,0.7429
1.68,5230.5,Ford,Fiesta,2017,petrol,full_service,46,4769.5,heavy,km,0.5287
5.33,9542.4,Ford,Fiesta,2020,petrol,brake_service,6,457.6,average,km,0.9622
4.27,3573.8,Hyundai,i20,2011,petrol,oil_change,47,1304.6,light,time,0.7335
2.4,4160.2,Toyota,RAV4,2024,petrol,full_service,104,5924.4,average,time,0.4123
2.16,2055.4,Honda,CR-V,2017,electric,inspection,228,7075.2,light,time,0.2239
5.03,8808.5,BMW,5 Series,2021,petrol,brake_service,25,1428.0,average,time,0.86
6.83,6335.8,Maruti,Vitara,2022,diesel,oil_change,3,96.4,light,time,0.985
1.34,4157.1,Toyota,Corolla,2019,petrol,full_service,59,5842.9,heavy,km,0.4083
1.19,1368.8,Hyundai,Creta,2011,petrol,oil_change,123,4632.8,average,time,0.2279
0.29,404.9,Maruti,Swift,2011,petrol,full_service,152,7595.1,average,km,0.0549
0.38,396.2,Honda,Civic,2012,hybrid,full_service,151,4460.4,light,time,0.0718
2.12,6569.1,Hyundai,i20,2018,petrol,full_service,33,3430.9,heavy,km,0.66
3.08,6628.9,Maruti,Vitara,2017,electric,oil_change,324,22784.3,average,time,0.2244
4.96,6380.8,Ford,Focus,2014,diesel,full_service,35,1485.3,average,time,0.8105
2.57,1976.4,Hyundai,Creta,2019,petrol,oil_change,94,2341.2,light,time,0.4549
6.07,4735.5,Hyundai,Tucson,2016,hybrid,brake_service,9,239.1,light,time,0.9519
10.76,35083.1,Honda,Civic,2023,electric,brake_service,58,6190.9,heavy,time,0.8498
5.62,7200.5,BMW,5 Series,2017,petrol,full_service,30,1270.8,average,time,0.849
1.3,2395.2,Honda,CR-V,2024,petrol,full_service,141,8604.8,average,km,0.2196
3.46,8307.5,Toyota,Corolla,2024,diesel,oil_change,65,5160.0,heavy,time,0.6187
1.89,1953.0,Maruti,Baleno,2024,diesel,oil_change,112,3880.3,average,time,0.3397
2.4,3941.4,Toyota,Corolla,2017,hybrid,inspection,91,4962.7,average,time,0.4464
4.03,6141.4,Ford,Fiesta,2023,petrol,full_service,56,2780.1,average,time,0.6875
3.72,5550.1,Honda,Accord,2020,petrol,full_service,71,3525.5,average,time,0.6144
3.71,6484.0,Ford,Fiesta,2010,petrol,oil_change,26,1516.0,average,km,0.8103
4.06,5538.5,Honda,Civic,2019,diesel,oil_change,34,1529.0,average,time,0.7828
5.52,4781.6,Hyundai,i20,2021,diesel,oil_change,13,356.1,light,time,0.9292
2.69,2663.9,Maruti,Baleno,2018,petrol,oil_change,99,3151.2,light,time,0.4525
1.83,2922.5,Honda,Civic,2024,petrol,full_service,154,8077.5,average,km,0.2658
5.12,4123.2,Toyota,RAV4,2020,petrol,brake_service,25,685.9,light,time,0.8595
1.45,2873.6,Hyundai,Tucson,2015,hybrid,full_service,102,6726.4,average,km,0.3014
2.07,3584.4,Volkswagen,Tiguan,2016,petrol,full_service,117,6415.6,average,km,0.3489
2.08,3671.7,Honda,Civic,2022,petrol,full_service,121,6970.3,average,time,0.3427
3.42,6035.2,Maruti,Swift,2020,petrol,oil_change,67,3964.8,average,km,0.6065
2.07,3594.3,Volkswagen,Golf,2015,electric,oil_change,291,16385.3,average,time,0.1779
0.38,164.3,BMW,3 Series,2013,electric,oil_change,344,5689.1,light,time,0.0328
0.16,46.6,Toyota,Camry,2015,petrol,oil_change,185,4034.0,light,time,0.0252
9.61,25827.8,Ford,Escape,2010,electric,full_service,90,7935.1,heavy,time,0.7648
0.3,1114.9,Hyundai,i20,2021,petrol,inspection,88,9885.1,heavy,km,0.0943
2.5,6815.0,Honda,Accord,2012,petrol,inspection,13,1185.0,heavy,km,0.8569
2.05,3404.0,Toyota,RAV4,2010,petrol,oil_change,84,4596.0,average,km,0.4251
3.04,4131.0,Maruti,Baleno,2021,hybrid,full_service,91,4077.4,average,time,0.5027
5.81,9481.5,Ford,Fiesta,2016,diesel,inspection,49,2596.7,average,time,0.7847
2.56,9431.2,Maruti,Baleno,2018,petrol,inspection,6,568.8,heavy,km,0.9296
2.96,5567.3,Honda,Civic,2010,diesel,full_service,86,5304.2,average,time,0.5122
3.38,5707.3,Ford,Escape,2013,petrol,oil_change,40,2292.7,average,km,0.7181
5.88,5918.7,Maruti,Vitara,2024,petrol,full_service,15,493.0,light,time,0.9224
2.21,1428.9,BMW,X3,2015,electric,oil_change,287,6018.6,light,time,0.19
4.77,7000.0,Ford,Fiesta,2011,diesel,oil_change,76,3728.5,average,time,0.6555
1.11,4406.5,Ford,Escape,2017,diesel,oil_change,80,10593.5,heavy,km,0.2969
2.01,3064.6,Toyota,Camry,2015,petrol,oil_change,96,4935.4,average,km,0.3882
4.54,6900.9,Toyota,Camry,2014,hybrid,brake_service,36,1786.1,average,time,0.7937
0.69,1480.3,BMW,5 Series,2024,diesel,full_service,146,10212.1,average,time,0.1266
4.8,7816.0,Volkswagen,Tiguan,2018,diesel,full_service,22,1175.9,average,time,0.8691
1.81,3247.2,BMW,3 Series,2022,petrol,full_service,108,6176.6,average,time,0.339
4.77,3529.2,Hyundai,Tucson,2020,petrol,oil_change,60,1483.0,light,time,0.7082
4.24,5784.1,Volkswagen,Tiguan,2010,petrol,full_service,48,2215.9,average,km,0.7295
2.08,6607.4,Honda,Accord,2023,petrol,oil_change,42,4392.6,heavy,km,0.5982
0.43,1385.6,Hyundai,Creta,2015,petrol,oil_change,62,6614.4,heavy,km,0.1745
11.98,22373.5,Volkswagen,Polo,2024,electric,oil_change,5,317.9,average,time,0.986
0.92,763.5,Toyota,Camry,2017,diesel,full_service,175,4603.2,light,time,0.1386
4.87,8416.0,Volkswagen,Golf,2018,hybrid,oil_change,55,3154.3,average,time,0.7279
0.33,429.5,Hyundai,Tucson,2022,petrol,inspection,167,7946.8,average,time,0.0563
1.02,857.0,Volkswagen,Golf,2014,diesel,full_service,175,4617.6,light,time,0.1501
2.44,2197.0,Volkswagen,Polo,2023,petrol,full_service,103,2896.6,light,time,0.4186
5.5,4943.6,Ford,Focus,2020,petrol,oil_change,25,714.2,average,time,0.8721
0.28,241.3,Ford,Escape,2022,diesel,oil_change,173,4780.7,light,time,0.0473
0.03,128.1,Ford,Escape,2011,petrol,full_service,83,7871.9,heavy,km,0.0109
1.88,6336.3,Toyota,Camry,2012,petrol,oil_change,15,1663.7,heavy,km,0.7923
2.27,8132.8,Honda,Civic,2017,hybrid,oil_change,32,3867.2,heavy,km,0.6819
0.39,791.6,Hyundai,Tucson,2017,diesel,oil_change,164,10412.3,average,time,0.0674
4.36,1895.1,Volkswagen,Tiguan,2022,petrol,brake_service,59,843.1,light,time,0.6918
4.19,11403.2,Toyota,RAV4,2020,hybrid,full_service,6,596.8,heavy,km,0.957
2.98,3223.2,BMW,X3,2015,petrol,oil_change,98,3535.1,average,time,0.4814
4.23,3063.6,Maruti,Vitara,2018,petrol,full_service,72,1731.2,light,time,0.6415
3.11,4596.8,Toyota,Camry,2021,diesel,oil_change,45,2194.0,average,time,0.6791
1.86,3755.3,Toyota,Corolla,2021,petrol,inspection,110,7244.7,average,km,0.3386
1.47,4451.8,Ford,Fiesta,2013,diesel,oil_change,75,7548.2,heavy,km,0.3734
4.68,6013.7,Ford,Escape,2011,petrol,oil_change,42,1785.1,average,time,0.7725
3.15,2413.9,Maruti,Vitara,2012,diesel,oil_change,88,2253.6,light,time,0.5221
5.36,3891.1,Ford,Escape,2017,hybrid,oil_change,34,807.3,light,time,0.8292
1.35,1182.7,BMW,X3,2010,electric,full_service,302,9425.3,light,time,0.1194
0.9,693.6,Hyundai,Creta,2012,hybrid,oil_change,141,3217.4,light,time,0.1632
3.44,6012.3,Ford,Escape,2016,diesel,brake_service,61,3570.9,average,time,0.6313
2.31,3084.2,Honda,Accord,2010,diesel,brake_service,116,5098.8,average,time,0.3773
5.82,9675.3,Toyota,Camry,2017,diesel,oil_change,5,301.0,average,time,0.9699
1.34,2150.4,Ford,Fiesta,2018,petrol,full_service,102,5234.7,average,time,0.2852
3.57,3394.6,Honda,Accord,2023,petrol,full_service,102,3134.4,light,time,0.5166
